lat,lon,island,name,address,type,year_open
743877.3913,2324015.571,Maui,The Ritz-Carlton Kapalua,1 Ritz Carlton Drive,HOTEL,1992
621128.2208,2353524.306,Oahu,Trump International Hotel Waikiki,223 Saratoga Road,HOTEL,2009
895620.3029,2152583.297,Hawaii,Volcano Village Lodge,19-4183 Road E,BED & BREAKFAST,2006
430272.665,2428498.145,Kauai,Waimea Plantation Cottages,9400 Kaumualii Highway,HOTEL,1984
778611.6247,2315853.795,Maui,Hale Mauka Makai,279 Pauwela Road,INDIVIDUAL VACATION UNIT,1997
818857.2225,2165439.548,Hawaii,Wyndham Mauna Loa Village,78-7190 Kaleiopapa Street,TIMESHARE,1983
818857.2225,2165439.548,Hawaii,Shell Vacations Holua Resort at Mauna Loa Village,78-7190 Kaleiopapa Street,TIMESHARE,1983
466231.8824,2438962.189,Kauai,Shell Vacations Kaua‘i Coast Resort at the Beachboy,520 Aleka Loop,TIMESHARE,1969
818519.7856,2166872.382,Hawaii,Shell Vacations Kona Coast Resort,78-6842 Alii Drive,TIMESHARE,1981
835584.492,2206431.653,Hawaii,Shell Vacations Paniolo Greens Resort,68-1745 Waikoloa Road,TIMESHARE,1991
620491.8234,2354134.942,Oahu,Shell Vacations Waikiki Marina Resort at The Ilikai,1777 Ala Moana Boulevard,TIMESHARE,1964
766100.4838,2293550.329,Maui,WorldMark at Kihei,75 Alanui Ke Alii Drive,TIMESHARE,2001
816057.9667,2172793.532,Hawaii,WorldMark at Kona,75-5949 Alii Drive,TIMESHARE,1997
741363.0458,2320743.318,Maui,WorldMark at Valley Isle,4327 Lower Honoapiilani Road,TIMESHARE,1973
467026.3422,2439921.056,Kauai,WorldMark Kapaa Shore,4-900 Kuhio Highway,TIMESHARE,1978
621372.4633,2354055.524,Oahu,Wyndham Vacation Resorts Royal Garden at Waikiki,440 Olohana Street,TIMESHARE,1993
621303.0484,2353518.44,Oahu,Wyndham at Waikiki Beach Walk,227 Lewers Street,TIMESHARE,2006
450376.5955,2457517.291,Kauai,Wyndham Bali Hai Villas,4970 Pepelani Loop,TIMESHARE,1995
451449.5415,2457159.23,Kauai,Wyndham Ka Eo Kai,3970 Wyllie Road,TIMESHARE,1982
765937.7628,2293050.786,Maui,Hale Pau Hana Resort,2480 South Kihei Road,CONDOMINIUM HOTEL,1969
759710.1396,2301662.191,Maui,Kanai A Nalu,250 Hauoli Street,INDIVIDUAL VACATION UNIT,1976
764630.9447,2298707.692,Maui,Wailana Kai,34 Wailana Place,INDIVIDUAL VACATION UNIT,1985
912678.5056,2186180.203,Hawaii,Pagoda Hilo Bay,121 Banyan Drive,APARTMENT/ HOTEL,1973
449021.8931,2457480.071,Kauai,Emmalani Court,5250 Ka Haku Road,INDIVIDUAL VACATION UNIT,2005
740664.1522,2316607.545,Maui,Kaanapali Plantation,150 Puukolii Road,INDIVIDUAL VACATION UNIT,
765985.1146,2292867.33,Maui,Kihei Akahi,2531 South Kihei Road,INDIVIDUAL VACATION UNIT,1977
740166.0958,2315717.854,Maui,Maui Eldorado,2661 Kekaa Drive,INDIVIDUAL VACATION UNIT,1969
759223.7927,2301261.778,Maui,Milowai-Maalaea,50 Hauoli Street,INDIVIDUAL VACATION UNIT,2004
741314.8191,2321013.025,Maui,Pohailani,4435 Lower Honoapiilani Road,INDIVIDUAL VACATION UNIT,
466894.866,2439652.465,Kauai,Waipouli Beach Resort,4-820 Kuhio Highway,INDIVIDUAL VACATION UNIT,2006
759658.3662,2312190.814,Maui,Banana Bungalow / Maui Hostel,310 North Market Street,HOSTEL,1990
453299.477,2418931.74,Kauai,Beachside Poipu Hale,2221B Kuai Road,INDIVIDUAL VACATION UNIT,1994
810558.7442,2301342.634,Maui,Hale Moana,141 Alalele Place,INDIVIDUAL VACATION UNIT,
813922.0024,2298128.198,Maui,Hana Beach Cottage,4975 Uakea Road,INDIVIDUAL VACATION UNIT,
813661.5379,2298555.932,Maui,Hana Beachfront Hale,140 Waikoloa Road,INDIVIDUAL VACATION UNIT,
810559.4939,2301348.723,Maui,Hana's Tradewind Cottages,143 Alalele Place,INDIVIDUAL VACATION UNIT,1990
431272.532,2427955.002,Kauai,Kokee Lodge,"Kokee State Park, Mile Marker 15",OTHER,1950
764783.4752,2296338.653,Maui,Hale Kai O Kihei,1310 Uluniu Road,INDIVIDUAL VACATION UNIT,1969
915036.5818,2186966.906,Hawaii,Arnott's Lodge And Hiking Adventures,98 Apapane Road,APARTMENT/ HOTEL,1990
742636.8671,2323377.966,Maui,Hale Napili,65 Hui Drive,CONDOMINIUM HOTEL,1960
742695.4671,2323355.981,Maui,Napili Village Hotel,5425 Lower Honoapiilani Road,CONDOMINIUM HOTEL,1965
759285.864,2301296.98,Maui,Maalaea Kai,70 Hauoli Street,INDIVIDUAL VACATION UNIT,1974
621000.0634,2353658.977,Oahu,Hale Koa Hotel,2055 Kalia Road,HOTEL,1975
741539.214,2309749.44,Maui,Best Western Pioneer Inn,658 Wharf Street,HOTEL,1901
772331.6971,2315060.635,Maui,The Paia Inn,93 Hana Highway,HOTEL,
741021.1372,2320138.727,Maui,Noelani Condominium Resort (Estimate),4095 Lower Honoapiilani Road,CONDOMINIUM HOTEL,1976
817210.2327,2170741.257,Hawaii,Banyan Tree Condominium,76-6268 Alii Drive,INDIVIDUAL VACATION UNIT,1978
818181.4299,2168058.91,Hawaii,Kahaluu Reef,78-6665 Alii Drive,INDIVIDUAL VACATION UNIT,
816034.8846,2172892.877,Hawaii,Lunapule Kona,75-123 Lunapule Road,INDIVIDUAL VACATION UNIT,
816238.2711,2172426.898,Hawaii,Kona Sea Ridge,75-6009 Alii Drive,INDIVIDUAL VACATION UNIT,
815768.939,2174016.004,Hawaii,Kona Alii,75-5782 Kuakini Highway,INDIVIDUAL VACATION UNIT,1974
817129.7883,2170906.861,Hawaii,My Hawaii Hostel,76-6241 Ali'i Drive #5,HOSTEL,
817392.7868,2170494.48,Hawaii,Kona Palms,77-6311 Alii Drive,INDIVIDUAL VACATION UNIT,
816260.7041,2172323.637,Hawaii,Alii Villas,75-6016 Alii Drive,INDIVIDUAL VACATION UNIT,1973
816461.6054,2171844.089,Hawaii,Casa de Emdeko,75-6082 Alii Drive,INDIVIDUAL VACATION UNIT,1970
826476.1042,2206270.258,Hawaii,Halii Kai at Waikoloa,69-1033 Nawahine Place,INDIVIDUAL VACATION UNIT,2007
622058.522,2353469.865,Oahu,Aqua Aloha Surf Waikiki,444 Kanekapolei Street,CONDOMINIUM HOTEL,1968
621442.3761,2353680.029,Oahu,Aqua Oasis,320 Lewers Street,HOTEL,1960
620694.6472,2354113.338,Oahu,Aqua Palms Waikiki,1850 Ala Moana Boulevard,CONDOMINIUM HOTEL,1968
621791.5633,2353726.264,Oahu,Aqua Skyline at Island Colony,445 Seaside Avenue,HOTEL,1978
622282.2257,2352799.578,Oahu,Ewa Hotel Waikiki,2555 Cartwright Road,HOTEL,1970
598266.6774,2359334.548,Oahu,Hampton Inn & Suites Oahu/Kapolei,91-5431 Kapolei Pkwy,HOTEL,2016
620491.8234,2354134.942,Oahu,Ilikai Hotel & Luxury Suites,1777 Ala Moana Boulevard,CONDOMINIUM HOTEL,1964
621134.7869,2353982.618,Oahu,Luana Waikiki Hotel & Suites,2045 Kalakaua Avenue,CONDOMINIUM HOTEL,1970
620338.8775,2355302.522,Oahu,Pagoda Hotel,1525 Rycroft Street,HOTEL,1964
618118.7365,2356823.91,Oahu,Aston at the Executive Centre Hotel,1088 Bishop Street,CONDOMINIUM HOTEL,1992
621936.102,2353042.217,Oahu,Espacio The Jewel of Waikiki,2452 Kalakaua Avenue,HOTEL,2019
464994.7275,2434026.637,Kauai,Wyndham Kauai Beach Villas,4330 Kauai Beach Drive,TIMESHARE,1979
816111.0655,2172740.14,Hawaii,Wyndham Kona Hawaiian Village,75-5961 Alii Drive,TIMESHARE,2001
450071.2676,2456996.822,Kauai,Makai Club & Makai Club Cottages,4180 Lei O Papa Road,TIMESHARE,1978
816312.9892,2172176.208,Hawaii,Wyndham Royal Sea Cliff,75-6040 Alii Drive,TIMESHARE,1982
451124.2057,2458009.943,Kauai,Wyndham Shearwater,3730 Kamehameha Road,TIMESHARE,1995
450398.6602,2458005.402,Kauai,The Cliffs at Princeville,3811 Edwards Road,TIMESHARE,1979
450794.9062,2419824.887,Kauai,Lawai Beach Resort,5017 Lawai Road,TIMESHARE,1981
620491.8234,2354134.942,Oahu,Ilikai Apartments,1777 Ala Moana Boulevard,INDIVIDUAL VACATION UNIT,1964
465155.451,2436731.083,Kauai,Kaha Lani Resort,4460 Nehe Road,INDIVIDUAL VACATION UNIT,1977
764767.6687,2297335.78,Maui,Leinaala,998 South Kihei Road,INDIVIDUAL VACATION UNIT,1975
764742.6092,2297472.239,Maui,Luana Kai,940 South Kihei Road,INDIVIDUAL VACATION UNIT,1979
725548.3166,2330578.045,Molokai,Molokai Shores,"Kamehameha Highway, Star Route",INDIVIDUAL VACATION UNIT,1977
742648.3196,2323661.541,Maui,Napili Kai Beach Resort,5900 Lower Honoapiilani Road,CONDOMINIUM HOTEL,1962
766759.5201,2290888.551,Maui,Palms at Wailea,3200 Wailea Alanui Drive,CONDOMINIUM HOTEL,1991
466227.5435,2438985.582,Kauai,Plantation Hale,525 Aleka Loop,INDIVIDUAL VACATION UNIT,1973
740882.536,2319665.914,Maui,Kuleana Resort,3959 Lower Honoapiilani Road,TIMESHARE,1973
740882.536,2319665.914,Maui,Kuleana Resort,3959 Lower Honoapiilani Road,CONDOMINIUM HOTEL,1973
740882.536,2319665.914,Maui,Kuleana Resort,3959 Lower Honoapiilani Road,INDIVIDUAL VACATION UNIT,1973
465908.9952,2438795.853,Kauai,17 Palms Kauai,414 Wailua Kai Street,INDIVIDUAL VACATION UNIT,2003
767275.7214,2289445.036,Maui,Wailea Ekolu Village,10 Wailea Ekolu Place,INDIVIDUAL VACATION UNIT,1979
766598.4266,2289949.954,Maui,Wailea Elua,3600 Wailea Alanui Drive,CONDOMINIUM HOTEL,1978
766589.8728,2288667.529,Maui,Wailea Point Village,4000 Wailea Alanui Drive,INDIVIDUAL VACATION UNIT,1987
451490.7345,2419641.623,Kauai,Whaler's Cove at Poipu,2640 Puuholo Road,CONDOMINIUM HOTEL,1993
767710.1659,2291220.945,Maui,Hale Manu Mele,3230 Kehala Dr 5k,BED & BREAKFAST,
813081.9068,2292835.471,Maui,Hana Aloha Hale,6820 Hana Hy,BED & BREAKFAST,1997
463506.6921,2428896.14,Kauai,Marriott's Kauai Beach Club,3610 Rice Street,TIMESHARE,1987
463506.6921,2428896.14,Kauai,Kauai Marriott Resort,3610 Rice Street,HOTEL,1987
464531.7177,2428689.19,Kauai,Marriott's Kauai Lagoons Kalanipu‘u,3325 Holokawelu Way,TIMESHARE,2010
591285.6842,2359135.529,Oahu,Marriott's Ko Olina Beach Club,92-161 Waipahe Place,TIMESHARE,2003
739752.571,2314733.514,Maui,Marriott's Maui Ocean Club,100 Nohea Kai Drive,TIMESHARE,1982
739752.571,2314733.514,Maui,Marriott's Maui Ocean Club Sequel,100 Nohea Kai Drive,TIMESHARE,1982
452562.1193,2419439.469,Kauai,Marriott's Waiohai Beach Club,2249 Poipu Road,TIMESHARE,2003
826271.2745,2205299.635,Hawaii,Waikoloa Beach Marriott Resort & Spa,69-275 Waikoloa Beach Drive,HOTEL,1981
826271.2745,2205299.635,Hawaii,Marriott's Waikoloa Ocean Club,69-275 Waikoloa Beach Drive,TIMESHARE,1981
451706.4662,2457465.533,Kauai,Westin Princeville Ocean Resort Villas,3838 Wyllie Road,TIMESHARE,2008
740117.1383,2316812.791,Maui,Westin Kaanapali Ocean Resort Villas,6 Kai Ala Drive,TIMESHARE,2005
740245.6735,2317552.496,Maui,Westin Nanea Ocean Villas,45 Kai Malina Pkwy,TIMESHARE,2017
620595.1438,2353845.13,Oahu,Hilton Grand Waikikian Vacation Suites,2005 Kalia Road,TIMESHARE,2001
621343.5748,2353592.619,Oahu,Hokulani Waikiki by Hilton Grand Vacations,2181 Kalakaua Avenue,TIMESHARE,2013
620595.1438,2353845.13,Oahu,Hilton Hawaiian Village Kalia Tower,2005 Kalia Road,TIMESHARE,2001
465654.5956,2438588.588,Kauai,Hale Awapuhi,366 Papaloa Road,INDIVIDUAL VACATION UNIT,1989
465708.4226,2438618.355,Kauai,Kapaa Sands,380 Papaloa Road,INDIVIDUAL VACATION UNIT,1968
816963.7229,2171077.344,Hawaii,Kona Nalu,76-6212 Alii Drive,INDIVIDUAL VACATION UNIT,1980
816584.6953,2171605.671,Hawaii,Kona Riviera,75-6124 Alii Drive,INDIVIDUAL VACATION UNIT,1970
916546.3125,2186791.165,Hawaii,MaunaLoa Shores,1875 Kalanianaole Avenue,INDIVIDUAL VACATION UNIT,
451704.041,2457458.201,Kauai,Puamana,3880 Wyllie Road,INDIVIDUAL VACATION UNIT,1985
816228.0798,2172448.427,Hawaii,Sea Village,75-6002 Alii Drive,TIMESHARE,1975
827422.1614,2206782.037,Hawaii,Golf Villas at Mauna Lani,68-1122 Na Ala Hele Road,INDIVIDUAL VACATION UNIT,2007
816228.0798,2172448.427,Hawaii,Sea Village,75-6002 Alii Drive,INDIVIDUAL VACATION UNIT,1975
837302.3659,2115049.495,Hawaii,A Beautiful Edge of the World B&B,PO Box 888,BED & BREAKFAST,1999
765219.7077,2298423.584,Maui,A Piece Of Paradise,201 Hoopili Akau St,BED & BREAKFAST,2015
779524.2982,2313887.834,Maui,Aloha Hookipa Bayview Cottage,1250 Kauhikoa Road,BED & BREAKFAST,2001
767996.5959,2290246.099,Maui,Auntie Kali's Cottage,530 Kumulani Dr 5k,BED & BREAKFAST,2013
631422.0822,2366162.426,Oahu,Finn's Bed & Breakfast,226 Pouli Road,BED & BREAKFAST,1985
761802.4601,2313250.542,Maui,Hale Anuhea Kai,679 Pio Dr 4O,BED & BREAKFAST,2019
778994.8153,2298949.99,Maui,Halekalani,505 Kamehameiki Road,BED & BREAKFAST,2015
779109.062,2301122.515,Maui,Hale Kiana,116 Mano Dr,BED & BREAKFAST,2016
765157.0876,2297847.21,Maui,Hibiscus Hideaway,11 Waikalani Hema Pl,BED & BREAKFAST,
776131.613,2311849.409,Maui,Lumeria Maui,1813 Baldwin Avenue,OTHER,
829200.3897,2223211.482,Hawaii,Makai Hale Bed & Breakfast,59-411 Pupu Place,BED & BREAKFAST,1991
765759.1111,2294281.266,Maui,Maui Garden Cottage,117 Auhana Road,BED & BREAKFAST,2010
782487.5688,2315289.069,Maui,Maui Tradewinds,4320 Une Place,BED & BREAKFAST,1998
780819.181,2315803.232,Maui,Peahi Point B&B,300 Hahana Rd 7g,BED & BREAKFAST,
740991.6592,2312592.736,Maui,The Guest House,1620 Ainakea Road,BED & BREAKFAST,1985
782400.5385,2315868.188,Maui,Tranquil Palms B&B,4356 Opana Pl,BED & BREAKFAST,
767514.3005,2291207.955,Maui,Victorian Villa,452 Kupulau Dr,BED & BREAKFAST,2016
767738.744,2290406.181,Maui,Rainbow Deluxe,460 Hoala Dr,BED & BREAKFAST,2011
620595.1438,2353845.13,Oahu,Hilton Hawaiian Village Lagoon Tower,2005 Kalia Road,TIMESHARE,2001
828111.5093,2206286.56,Hawaii,Kings' Land by Hilton Grand Vacations,69-699 Waikoloa Beach Drive,TIMESHARE,2008
827002.161,2205949.657,Hawaii,Kohala Suites by Hilton Grand Vacations,69-550 Waikoloa Beach Drive,TIMESHARE,2005
826007.5589,2206129.089,Hawaii,The Bay Club at Waikoloa Beach Resort,69-450 Waikoloa Beach Drive,TIMESHARE,1991
620803.1969,2353869.579,Oahu,The Grand Islander by Hilton Grand Vacations,2023 Kalia Road,TIMESHARE,2017
825993.5146,2206148.34,Hawaii,Ocean Tower by Hilton Grand Vacations,69-425 Waikoloa Beach Drive,TIMESHARE,1988
825993.5146,2206148.34,Hawaii,Hilton Waikoloa Village,69-425 Waikoloa Beach Drive,HOTEL,1988
621326.6142,2353393.667,Oahu,Waikiki Parc Hotel,2233 Helumoa Road,HOTEL,1987
620331.9853,2354198.635,Oahu,Prince Waikiki,100 Holomoana Street,HOTEL,1990
832519.0443,2214100.47,Hawaii,The Westin Hapuna Beach Resort,62-100 Kaunaoa Beach Drive,HOTEL,1994
832237.1432,2215507.546,Hawaii,"Mauna Kea Beach Hotel, Autograph Collection",62-100 Mauna Kea Beach Drive,HOTEL,1965
581632.9565,2373514.013,Oahu,Hawaiian Princess at Makaha Beach,84-1021 Lahilahi Street,TIMESHARE,1980
741182.1989,2320434.48,Maui,Kahana Falls Resorts,4260 Lower Honoapiilani Road,TIMESHARE,1992
764755.8857,2297402.732,Maui,Maui Schooner Resort,980 South Kihei Road,TIMESHARE,1990
621107.8185,2353481.452,Oahu,Waikiki Shore by Outrigger,2161 Kalia Road,CONDOMINIUM HOTEL,1960
740166.0958,2315717.854,Maui,Maui Eldorado Kaanapali by Outrigger,2661 Kekaa Drive,CONDOMINIUM HOTEL,1969
741809.2064,2309925.594,Maui,Aina Nalu Lahaina By Outrigger,660 Wainee Street,CONDOMINIUM HOTEL,1975
818441.3939,2166200.072,Hawaii,Kanaloa at Kona by Outrigger,78-261 Manukai Street,CONDOMINIUM HOTEL,1980
452529.4232,2419453.675,Kauai,Kiahuna Plantation Resort Kauai by Outrigger,2253 Poipu Road,CONDOMINIUM HOTEL,1972
742545.2343,2323075.054,Maui,Napili Shores Maui by Outrigger,5315 Lower Honoapiilani Road,CONDOMINIUM HOTEL,1972
621270.5632,2353594.856,Oahu,Regency on Beachwalk Waikiki By Outrigger,255 Beach Walk,CONDOMINIUM HOTEL,1961
743620.1221,2324266.284,Maui,The Kapalua Villas Maui,500 Office Road,CONDOMINIUM HOTEL,1975
741343.4212,2320815.968,Maui,Royal Kahana Maui by Outrigger,4365 Lower Honoapiilani Road,CONDOMINIUM HOTEL,1975
826546.1605,2205465.69,Hawaii,Fairway Villas Waikoloa by Outrigger,69-200 Pohakulana Place,CONDOMINIUM HOTEL,2004
826387.0969,2205192.414,Hawaii,Kohala Coast Vacation Rentals by Outrigger,69-250 Waikoloa Beach Dr Ste B13,CONDOMINIUM HOTEL,
766759.5201,2290888.551,Maui,Palms at Wailea Maui by Outrigger,3200 Wailea Alanui Drive,CONDOMINIUM HOTEL,1991
466894.866,2439652.465,Kauai,Waipouli Beach Resort & Spa Kauai by Outrigger,4-820 Kuhio Highway,CONDOMINIUM HOTEL,2006
465865.4965,2438705.895,Kauai,Lae Nani Resort Kauai by Outrigger,410 Papaloa Road,CONDOMINIUM HOTEL,1977
740187.7257,2317924.877,Maui,Honua Kai Resort & Spa,130 Kai Malina Pkwy,CONDOMINIUM HOTEL,2009
612678.8052,2359792.318,Oahu,Best Western The Plaza Hotel,3253 North Nimitz Highway,HOTEL,1963
621174.42,2353484.072,Oahu,Embassy Suites by Hilton™ - Waikiki Beach Walk,201 Beach Walk,HOTEL,2006
621646.6555,2353395.608,Oahu,Waikiki Beachcomber by Outrigger,2300 Kalakaua Avenue,HOTEL,1970
612282.3645,2359854.006,Oahu,Airport Honolulu Hotel,3401 North Nimitz Highway,HOTEL,1965
621914.3548,2353319.44,Oahu,OHANA Waikiki East by Outrigger,150 Kaiulani Avenue,HOTEL,1972
621565.102,2353713.961,Oahu,OHANA Waikiki Malia by Outrigger,2211 Kuhio Avenue,HOTEL,1984
621137.096,2353454.24,Oahu,Outrigger Reef Waikiki Beach Resort,2169 Kalia Road,HOTEL,1955
621669.6816,2353312.796,Oahu,Outrigger Waikiki Beach Resort,2335 Kalakaua Avenue,HOTEL,1967
816312.9892,2172176.208,Hawaii,Royal Sea Cliff Kona by Outrigger,75-6040 Alii Drive,CONDOMINIUM HOTEL,1982
909915.1611,2186265.882,Hawaii,Dolphin Bay Hotel,333 Iliahi Street,HOTEL,1968
896246.5999,2152723.006,Hawaii,Aloha Crater Lodge,11-3966 Lanihuli Road,BED & BREAKFAST,2007
622353.6542,2351763.88,Oahu,The New Otani at Kaimana Beach Hotel,2863 Kalakaua Avenue,HOTEL,1964
912718.5489,2186123.28,Hawaii,Reeds Bay Resort Hotel,175 Banyan Drive,,1984
621846.5114,2353644.981,Oahu,Ilima Hotel,445 Nohonani Street,HOTEL,1968
467499.5762,2441579.808,Kauai,Hotel Coral Reef,4-1516 Kuhio Highway,HOTEL,1955
590759.1796,2360074.814,Oahu,Four Seasons Resort Oahu at Ko Olina,92-1001 Olani Street,HOTEL,1993
775259.4658,2305910.787,Maui,Hale Aku,2704 Ililani Way,BED & BREAKFAST,
909415.835,2185054.337,Hawaii,Hilo Honu Inn LLC,465 Haili Street,BED & BREAKFAST,2006
905048.7127,2185622.032,Hawaii,Inn at Kulaniapia Falls,100 Kulaniapia Drive,BED & BREAKFAST,1998
828287.6624,2150728.833,Hawaii,Kane Plantation Guesthouse,84-1120 Telephone Exchange Road,BED & BREAKFAST,2013
895883.3263,2152785.3,Hawaii,Kilauea Lodge & Restaurant,19-3948 Old Volcano Road,HOTEL,1988
773890.5668,2316588.817,Maui,Mama's Fish House Restaurant And Inn,799 Poho Place,HOTEL,1973
451600.3363,2419778.493,Kauai,Poipu Bed & Breakfast Inn,2720 Hoonani Road,BED & BREAKFAST,1988
603573.603,2400527.182,Oahu,Turtle Bay Resort,57-091 Kamehameha Highway,HOTEL,1972
825731.4293,2154943.884,Hawaii,Kona Bayview Inn,83-5605 Middle Keei Road,BED & BREAKFAST,1999
